Elsevier	151
Springer	94
BMJ	6
Institute Of Physics	14
Wiley	8
Cambridge University Press	11
SAGE	18
Emerald	5
Science Press	1
Kluwer	25
Nauka/Interperiodica	4
SP MAIK Nauka/Interperiodica	6
RSC	13
Oxford University Press	6
Birkhäuser Basel	1
Nature Publishing Group	1
The University of Chicago Press	1
SP Science China Press	1
Humana Press	1
EDP Sciences	3
Urban & Vogel	2
Birkhäuser-Verlag	1
Blackwell	5
Chinese Association of Traditional and Western Medicine	1
The Korean Institute of Metals and Materials	1
Northeast Forestry University and Ecological Society of China	1
MCB UP Ltd	1